transaction_id,order_id,order_date,customer_id,product_id,region,quantity,unit_price,discount_pct,discount_amount,revenue,cogs
TRX0024302,ORD010884,2024-01-01,CUST0335,P007,Jawa Barat,7,12500,0.054,4728.65,82771.35,67200
TRX0031927,ORD014271,2024-01-01,CUST0233,P005,Bali,11,3000,0.0,0.0,33000.0,25300
TRX0032944,ORD014715,2024-01-01,CUST0219,P003,Jawa Barat,12,15500,0.0091,1698.72,184301.28,158400
TRX0033595,ORD015002,2024-01-01,CUST0012,P006,Jawa Tengah,4,9500,0.031,1179.52,36820.48,28400
TRX0034841,ORD015561,2024-01-01,CUST0481,P005,Jawa Barat,4,3000,0.0,0.0,12000.0,9200
TRX0034842,ORD015561,2024-01-01,CUST0481,P001,Jawa Barat,12,18500,0.0605,13441.06,208558.94,189600
TRX0036250,ORD016189,2024-01-01,CUST0077,P014,Jawa Barat,15,20000,0.0414,12433.75,287566.25,232500
TRX0040262,ORD017980,2024-01-01,CUST0360,P002,Jawa Barat,4,68000,0.0397,10807.47,261192.53,242000
TRX0041454,ORD018506,2024-01-01,CUST0377,P008,DKI Jakarta,10,19500,0.0,0.0,195000.0,164000
TRX0046914,ORD020933,2024-01-01,CUST0113,P010,Jawa Tengah,4,9800,0.0,0.0,39200.0,30000
TRX0046946,ORD020946,2024-01-01,CUST0032,P015,Sumatera Utara,3,28500,0.0277,2371.32,83128.68,66000
TRX0046947,ORD020946,2024-01-01,CUST0032,P001,Sumatera Utara,4,18500,0.0,0.0,74000.0,63200
TRX0046948,ORD020946,2024-01-01,CUST0032,P008,Sumatera Utara,11,19500,0.0889,19074.68,195425.32,180400
TRX0046949,ORD020946,2024-01-01,CUST0032,P010,Sumatera Utara,4,9800,0.0589,2309.57,36890.43,30000
TRX0048403,ORD021614,2024-01-01,CUST0440,P004,Jawa Barat,6,3200,0.0,0.0,19200.0,14700
TRX0048671,ORD021739,2024-01-01,CUST0104,P013,Jawa Barat,12,13800,0.0392,6499.2,159100.8,127200
TRX0055633,ORD024862,2024-01-01,CUST0468,P007,Jawa Barat,9,12500,0.0,0.0,112500.0,86400
TRX0002973,ORD001328,2024-01-02,CUST0169,P011,Sumatera Utara,6,11500,0.0185,1278.09,67721.91,53400
TRX0002974,ORD001328,2024-01-02,CUST0169,P004,Sumatera Utara,10,3200,0.0089,285.86,31714.14,24500
TRX0003858,ORD001715,2024-01-02,CUST0030,P004,Jawa Barat,2,3200,0.0344,220.04,6179.96,4900
TRX0003859,ORD001715,2024-01-02,CUST0030,P001,Jawa Barat,8,18500,0.0201,2978.63,145021.37,126400
TRX0004287,ORD001912,2024-01-02,CUST0070,P003,Jawa Timur,3,15500,0.0144,667.33,45832.67,39600
TRX0004986,ORD002218,2024-01-02,CUST0487,P009,Banten,6,3800,0.0912,2078.86,20721.14,17400
TRX0006989,ORD003130,2024-01-02,CUST0446,P014,Banten,13,20000,0.0446,11606.24,248393.76,201500
TRX0012850,ORD005755,2024-01-02,CUST0012,P001,Jawa Tengah,7,18500,0.0339,4386.21,125113.79,110600
TRX0014694,ORD006583,2024-01-02,CUST0063,P001,Jawa Tengah,6,18500,0.0,0.0,111000.0,94800
TRX0014695,ORD006583,2024-01-02,CUST0063,P015,Jawa Tengah,10,28500,0.0644,18345.43,266654.57,220000
TRX0025756,ORD011528,2024-01-02,CUST0144,P004,Jawa Timur,3,3200,0.0,0.0,9600.0,7350
TRX0025757,ORD011528,2024-01-02,CUST0144,P006,Jawa Timur,9,9500,0.0182,1559.07,83940.93,63900
TRX0027179,ORD012153,2024-01-02,CUST0238,P010,DKI Jakarta,4,9800,0.0613,2401.26,36798.74,30000
TRX0027180,ORD012153,2024-01-02,CUST0238,P003,DKI Jakarta,2,15500,0.0304,941.68,30058.32,26400
TRX0027181,ORD012153,2024-01-02,CUST0238,P008,DKI Jakarta,2,19500,0.0827,3226.32,35773.68,32800
TRX0027504,ORD012294,2024-01-02,CUST0264,P001,Jawa Timur,5,18500,0.0049,450.21,92049.79,79000
TRX0027505,ORD012294,2024-01-02,CUST0264,P004,Jawa Timur,16,3200,0.0725,3712.25,47487.75,39200
TRX0028332,ORD012653,2024-01-02,CUST0215,P002,Jawa Tengah,1,68000,0.0633,4303.88,63696.12,60500
TRX0028333,ORD012653,2024-01-02,CUST0215,P005,Jawa Tengah,1,3000,0.0356,106.9,2893.1,2300
TRX0029602,ORD013229,2024-01-02,CUST0072,P001,Jawa Timur,2,18500,0.0152,560.92,36439.08,31600
TRX0030947,ORD013822,2024-01-02,CUST0008,P001,Jawa Barat,4,18500,0.0312,2309.49,71690.51,63200
TRX0030948,ORD013822,2024-01-02,CUST0008,P011,Jawa Barat,1,11500,0.0,0.0,11500.0,8900
TRX0030949,ORD013822,2024-01-02,CUST0008,P005,Jawa Barat,6,3000,0.0412,742.0,17258.0,13800
TRX0034351,ORD015341,2024-01-02,CUST0468,P010,Jawa Barat,9,9800,0.0768,6771.84,81428.16,67500
TRX0034352,ORD015341,2024-01-02,CUST0468,P009,Jawa Barat,1,3800,0.013,49.58,3750.42,2900
TRX0036515,ORD016309,2024-01-02,CUST0445,P002,Jawa Barat,2,68000,0.0,0.0,136000.0,121000
TRX0036516,ORD016309,2024-01-02,CUST0445,P009,Jawa Barat,17,3800,0.0411,2652.18,61947.82,49300
TRX0036517,ORD016309,2024-01-02,CUST0445,P012,Jawa Barat,11,16500,0.053,9618.42,171881.58,144100
TRX0039019,ORD017433,2024-01-02,CUST0032,P003,Sumatera Utara,6,15500,0.0212,1976.1,91023.9,79200
TRX0050013,ORD022358,2024-01-02,CUST0286,P006,Jawa Timur,11,9500,0.0242,2531.14,101968.86,78100
TRX0050014,ORD022358,2024-01-02,CUST0286,P004,Jawa Timur,4,3200,0.0,0.0,12800.0,9800
TRX0050015,ORD022358,2024-01-02,CUST0286,P002,Jawa Timur,9,68000,0.017,10399.51,601600.49,544500
TRX0051697,ORD023109,2024-01-02,CUST0395,P009,Jawa Timur,11,3800,0.0577,2411.24,39388.76,31900
TRX0051698,ORD023109,2024-01-02,CUST0395,P010,Jawa Timur,11,9800,0.0,0.0,107800.0,82500
TRX0051699,ORD023109,2024-01-02,CUST0395,P008,Jawa Timur,3,19500,0.0548,3203.88,55296.12,49200
TRX0052132,ORD023304,2024-01-02,CUST0224,P006,Bali,5,9500,0.0089,421.64,47078.36,35500
TRX0052133,ORD023304,2024-01-02,CUST0224,P014,Bali,17,20000,0.0,0.0,340000.0,263500
TRX0052134,ORD023304,2024-01-02,CUST0224,P005,Bali,9,3000,0.0351,949.04,26050.96,20700
TRX0054792,ORD024480,2024-01-02,CUST0491,P004,Jawa Tengah,9,3200,0.0206,592.37,28207.63,22050
TRX0054793,ORD024480,2024-01-02,CUST0491,P002,Jawa Tengah,7,68000,0.0,0.0,476000.0,423500
TRX0015476,ORD006915,2024-01-03,CUST0066,P002,Jawa Timur,3,68000,0.0,0.0,204000.0,181500
TRX0015477,ORD006915,2024-01-03,CUST0066,P006,Jawa Timur,1,9500,0.0,0.0,9500.0,7100
TRX0015478,ORD006915,2024-01-03,CUST0066,P004,Jawa Timur,16,3200,0.0172,882.16,50317.84,39200
TRX0015479,ORD006915,2024-01-03,CUST0066,P001,Jawa Timur,10,18500,0.03,5542.51,179457.49,158000
TRX0015480,ORD006915,2024-01-03,CUST0066,P007,Jawa Timur,7,12500,0.0051,448.05,87051.95,67200
TRX0016738,ORD007481,2024-01-03,CUST0481,P001,Jawa Barat,13,18500,0.0398,9582.34,230917.66,205400
TRX0019490,ORD008707,2024-01-03,CUST0343,P005,Sulawesi Selatan,3,3000,0.0,0.0,9000.0,6900
TRX0020903,ORD009365,2024-01-03,CUST0333,P001,Jawa Barat,6,18500,0.0,0.0,111000.0,94800
TRX0020904,ORD009365,2024-01-03,CUST0333,P011,Jawa Barat,14,11500,0.052,8374.67,152625.33,124600
TRX0026434,ORD011815,2024-01-03,CUST0072,P007,Jawa Timur,7,12500,0.0111,967.75,86532.25,67200
TRX0026435,ORD011815,2024-01-03,CUST0072,P006,Jawa Timur,11,9500,0.0,0.0,104500.0,78100
TRX0026436,ORD011815,2024-01-03,CUST0072,P001,Jawa Timur,11,18500,0.0292,5942.14,197557.86,173800
TRX0040370,ORD018030,2024-01-03,CUST0349,P014,Jawa Tengah,11,20000,0.1204,26480.9,193519.1,170500
TRX0044392,ORD019813,2024-01-03,CUST0151,P002,Jawa Barat,14,68000,0.0,0.0,952000.0,847000
TRX0044393,ORD019813,2024-01-03,CUST0151,P001,Jawa Barat,5,18500,0.0261,2411.15,90088.85,79000
TRX0044394,ORD019813,2024-01-03,CUST0151,P009,Jawa Barat,2,3800,0.0133,100.87,7499.13,5800
TRX0045919,ORD020504,2024-01-03,CUST0031,P006,Jawa Timur,23,9500,0.0933,20377.51,198122.49,163300
TRX0045920,ORD020504,2024-01-03,CUST0031,P013,Jawa Timur,4,13800,0.0706,3899.26,51300.74,42400
TRX0046627,ORD020807,2024-01-03,CUST0446,P006,Banten,4,9500,0.0,0.0,38000.0,28400
TRX0046628,ORD020807,2024-01-03,CUST0446,P005,Banten,8,3000,0.065,1559.46,22440.54,18400
TRX0046630,ORD020807,2024-01-03,CUST0446,P012,Banten,2,16500,0.0487,1607.91,31392.09,26200
TRX0049873,ORD022298,2024-01-03,CUST0227,P006,Jawa Timur,13,9500,0.0,0.0,123500.0,92300
TRX0050415,ORD022531,2024-01-03,CUST0468,P014,Jawa Barat,5,20000,0.0112,1115.85,98884.15,77500
TRX0050416,ORD022531,2024-01-03,CUST0468,P013,Jawa Barat,4,13800,0.0476,2630.19,52569.81,42400
TRX0002087,ORD000922,2024-01-04,CUST0290,P008,Jawa Timur,20,19500,0.0693,27024.62,362975.38,328000
TRX0003639,ORD001612,2024-01-04,CUST0187,P010,Jawa Barat,8,9800,0.0761,5967.05,72432.95,60000
TRX0003640,ORD001612,2024-01-04,CUST0187,P007,Jawa Barat,1,12500,0.0389,485.93,12014.07,9600
TRX0003641,ORD001612,2024-01-04,CUST0187,P005,Jawa Barat,1,3000,0.0277,83.02,2916.98,2300
TRX0012806,ORD005738,2024-01-04,CUST0112,P006,Jawa Barat,3,9500,0.016,455.25,28044.75,21300
TRX0013167,ORD005898,2024-01-04,CUST0117,P006,DKI Jakarta,4,9500,0.0253,961.15,37038.85,28400
TRX0013168,ORD005898,2024-01-04,CUST0117,P001,DKI Jakarta,8,18500,0.0285,4214.09,143785.91,126400
TRX0016575,ORD007407,2024-01-04,CUST0176,P001,Jawa Timur,11,18500,0.032,6506.51,196993.49,173800
TRX0016576,ORD007407,2024-01-04,CUST0176,P005,Jawa Timur,21,3000,0.05,3150.0,59850.0,48300
TRX0016577,ORD007407,2024-01-04,CUST0176,P006,Jawa Timur,4,9500,0.0136,515.05,37484.95,28400
TRX0019953,ORD008934,2024-01-04,CUST0094,P003,Sumatera Utara,21,15500,0.0809,26347.28,299152.72,277200
TRX0021566,ORD009667,2024-01-04,CUST0425,P001,Jawa Timur,7,18500,0.01,1289.55,128210.45,110600
TRX0021568,ORD009667,2024-01-04,CUST0425,P009,Jawa Timur,6,3800,0.0497,1133.06,21666.94,17400
TRX0021569,ORD009667,2024-01-04,CUST0425,P003,Jawa Timur,2,15500,0.0096,296.25,30703.75,26400
TRX0021570,ORD009667,2024-01-04,CUST0425,P008,Jawa Timur,10,19500,0.0242,4720.46,190279.54,164000
TRX0023580,ORD010567,2024-01-04,CUST0096,P008,Jawa Barat,25,19500,0.0524,25559.18,461940.82,410000
TRX0024518,ORD010982,2024-01-04,CUST0392,P011,Jawa Tengah,11,11500,0.0759,9601.29,116898.71,97900
TRX0024519,ORD010982,2024-01-04,CUST0392,P009,Jawa Tengah,6,3800,0.0,0.0,22800.0,17400
TRX0026739,ORD011961,2024-01-04,CUST0223,P007,Sumatera Utara,5,12500,0.0346,2160.67,60339.33,48000
TRX0026888,ORD012026,2024-01-04,CUST0192,P005,DKI Jakarta,6,3000,0.0436,785.7,17214.3,13800
TRX0032095,ORD014344,2024-01-04,CUST0105,P008,Jawa Barat,5,19500,0.0,0.0,97500.0,82000
TRX0032138,ORD014369,2024-01-04,CUST0117,P003,DKI Jakarta,8,15500,0.0553,6858.4,117141.6,105600
TRX0032866,ORD014683,2024-01-04,CUST0277,P001,DKI Jakarta,9,18500,0.0,0.0,166500.0,142200
TRX0036546,ORD016322,2024-01-04,CUST0340,P009,Bali,6,3800,0.012,274.33,22525.67,17400
TRX0036547,ORD016322,2024-01-04,CUST0340,P002,Bali,6,68000,0.0,0.0,408000.0,363000
TRX0036548,ORD016322,2024-01-04,CUST0340,P003,Bali,13,15500,0.0257,5176.35,196323.65,171600
TRX0039734,ORD017747,2024-01-04,CUST0212,P010,Jawa Barat,3,9800,0.0465,1366.44,28033.56,22500
TRX0041805,ORD018663,2024-01-04,CUST0098,P004,Jawa Tengah,7,3200,0.0653,1463.56,20936.44,17150
TRX0041806,ORD018663,2024-01-04,CUST0098,P006,Jawa Tengah,13,9500,0.0721,8908.27,114591.73,92300
TRX0041905,ORD018714,2024-01-04,CUST0316,P001,Banten,13,18500,0.0362,8696.29,231803.71,205400
TRX0041906,ORD018714,2024-01-04,CUST0316,P008,Banten,3,19500,0.0266,1556.61,56943.39,49200
TRX0043245,ORD019316,2024-01-04,CUST0441,P006,Jawa Tengah,4,9500,0.0518,1969.25,36030.75,28400
TRX0044367,ORD019803,2024-01-04,CUST0019,P001,Jawa Tengah,8,18500,0.0665,9848.93,138151.07,126400
TRX0044369,ORD019803,2024-01-04,CUST0019,P005,Jawa Tengah,4,3000,0.0011,13.77,11986.23,9200
TRX0047233,ORD021074,2024-01-04,CUST0193,P015,Banten,1,28500,0.0905,2580.53,25919.47,22000
TRX0047234,ORD021074,2024-01-04,CUST0193,P008,Banten,9,19500,0.0141,2471.2,173028.8,147600
TRX0047235,ORD021074,2024-01-04,CUST0193,P011,Banten,5,11500,0.0297,1707.52,55792.48,44500
TRX0047236,ORD021074,2024-01-04,CUST0193,P005,Banten,7,3000,0.0496,1042.09,19957.91,16100
TRX0047237,ORD021074,2024-01-04,CUST0193,P003,Banten,1,15500,0.0257,398.61,15101.39,13200
TRX0049205,ORD021993,2024-01-04,CUST0075,P011,Jawa Barat,1,11500,0.0099,114.03,11385.97,8900
TRX0050238,ORD022453,2024-01-04,CUST0114,P008,Bali,3,19500,0.0709,4146.93,54353.07,49200
TRX0050239,ORD022453,2024-01-04,CUST0114,P011,Bali,4,11500,0.0154,707.01,45292.99,35600
TRX0053367,ORD023849,2024-01-04,CUST0141,P015,Sulawesi Selatan,1,28500,0.0442,1259.97,27240.03,22000
TRX0053368,ORD023849,2024-01-04,CUST0141,P004,Sulawesi Selatan,1,3200,0.0119,38.15,3161.85,2450
TRX0054044,ORD024145,2024-01-04,CUST0453,P001,Jawa Timur,15,18500,0.0108,3006.82,274493.18,237000
TRX0054669,ORD024424,2024-01-04,CUST0261,P004,DKI Jakarta,13,3200,0.0158,658.25,40941.75,31850
TRX0054672,ORD024424,2024-01-04,CUST0261,P001,DKI Jakarta,9,18500,0.0135,2245.56,164254.44,142200
TRX0000958,ORD000427,2024-01-05,CUST0215,P003,Jawa Tengah,14,15500,0.0816,17710.79,199289.21,184800
TRX0000959,ORD000427,2024-01-05,CUST0215,P004,Jawa Tengah,5,3200,0.0,0.0,16000.0,12250
TRX0000960,ORD000427,2024-01-05,CUST0215,P001,Jawa Tengah,2,18500,0.0,0.0,37000.0,31600
TRX0003682,ORD001633,2024-01-05,CUST0257,P001,Sulawesi Selatan,9,18500,0.0105,1746.95,164753.05,142200
TRX0003683,ORD001633,2024-01-05,CUST0257,P003,Sulawesi Selatan,13,15500,0.0244,4917.68,196582.32,171600
TRX0007626,ORD003412,2024-01-05,CUST0098,P002,Jawa Tengah,16,68000,0.0037,4069.21,1083930.79,968000
TRX0017649,ORD007874,2024-01-05,CUST0129,P011,Sulawesi Selatan,5,11500,0.0183,1051.52,56448.48,44500
TRX0019828,ORD008866,2024-01-05,CUST0067,P001,Jawa Barat,13,18500,0.0456,10956.93,229543.07,205400
TRX0019829,ORD008866,2024-01-05,CUST0067,P008,Jawa Barat,3,19500,0.0176,1029.69,57470.31,49200
TRX0019830,ORD008866,2024-01-05,CUST0067,P009,Jawa Barat,14,3800,0.019,1012.65,52187.35,40600
TRX0023112,ORD010352,2024-01-05,CUST0500,P008,Bali,5,19500,0.0101,988.17,96511.83,82000
TRX0024391,ORD010927,2024-01-05,CUST0268,P005,Banten,21,3000,0.0675,4253.53,58746.47,48300
TRX0027025,ORD012086,2024-01-05,CUST0481,P001,Jawa Barat,11,18500,0.0519,10558.96,192941.04,173800
TRX0027026,ORD012086,2024-01-05,CUST0481,P009,Jawa Barat,4,3800,0.0065,99.49,15100.51,11600
TRX0027027,ORD012086,2024-01-05,CUST0481,P015,Jawa Barat,14,28500,0.0686,27381.18,371618.82,308000
TRX0027028,ORD012086,2024-01-05,CUST0481,P010,Jawa Barat,9,9800,0.0951,8389.03,79810.97,67500
TRX0027029,ORD012086,2024-01-05,CUST0481,P006,Jawa Barat,7,9500,0.0534,3549.17,62950.83,49700
TRX0027149,ORD012138,2024-01-05,CUST0031,P014,Jawa Timur,6,20000,0.0383,4591.63,115408.37,93000
TRX0027150,ORD012138,2024-01-05,CUST0031,P005,Jawa Timur,9,3000,0.0599,1616.78,25383.22,20700
TRX0027297,ORD012201,2024-01-05,CUST0253,P001,DKI Jakarta,4,18500,0.0,0.0,74000.0,63200
TRX0027298,ORD012201,2024-01-05,CUST0253,P014,DKI Jakarta,9,20000,0.1068,19215.98,160784.02,139500
TRX0027299,ORD012201,2024-01-05,CUST0253,P015,DKI Jakarta,4,28500,0.05,5701.06,108298.94,88000
TRX0029765,ORD013298,2024-01-05,CUST0377,P005,DKI Jakarta,15,3000,0.0082,368.86,44631.14,34500
TRX0033594,ORD015001,2024-01-05,CUST0328,P007,Jawa Timur,11,12500,0.0252,3464.25,134035.75,105600
TRX0036217,ORD016173,2024-01-05,CUST0150,P001,DKI Jakarta,6,18500,0.0528,5862.17,105137.83,94800
TRX0036218,ORD016173,2024-01-05,CUST0150,P008,DKI Jakarta,6,19500,0.0587,6862.17,110137.83,98400
TRX0036223,ORD016175,2024-01-05,CUST0192,P008,DKI Jakarta,11,19500,0.0542,11626.03,202873.97,180400
TRX0036224,ORD016175,2024-01-05,CUST0192,P003,DKI Jakarta,19,15500,0.0233,6850.93,287649.07,250800
TRX0040046,ORD017881,2024-01-05,CUST0333,P003,Jawa Barat,28,15500,0.0555,24081.76,409918.24,369600
TRX0040047,ORD017881,2024-01-05,CUST0333,P001,Jawa Barat,1,18500,0.0,0.0,18500.0,15800
TRX0040421,ORD018052,2024-01-05,CUST0441,P011,Jawa Tengah,5,11500,0.0464,2668.05,54831.95,44500
TRX0040422,ORD018052,2024-01-05,CUST0441,P014,Jawa Tengah,11,20000,0.0423,9295.99,210704.01,170500
TRX0040423,ORD018052,2024-01-05,CUST0441,P002,Jawa Tengah,15,68000,0.0321,32787.66,987212.34,907500
TRX0040424,ORD018052,2024-01-05,CUST0441,P004,Jawa Tengah,23,3200,0.0568,4177.12,69422.88,56350
TRX0040425,ORD018052,2024-01-05,CUST0441,P013,Jawa Tengah,23,13800,0.051,16178.92,301221.08,243800
TRX0045639,ORD020388,2024-01-05,CUST0021,P001,Jawa Barat,3,18500,0.0543,3010.89,52489.11,47400
TRX0049717,ORD022219,2024-01-05,CUST0369,P001,Jawa Timur,6,18500,0.0902,10009.65,100990.35,94800
TRX0050431,ORD022539,2024-01-05,CUST0329,P005,Jawa Tengah,16,3000,0.006,290.21,47709.79,36800
TRX0050432,ORD022539,2024-01-05,CUST0329,P004,Jawa Tengah,11,3200,0.0524,1844.01,33355.99,26950
TRX0053971,ORD024117,2024-01-05,CUST0114,P007,Bali,8,12500,0.0486,4857.37,95142.63,76800
TRX0053972,ORD024117,2024-01-05,CUST0114,P008,Bali,12,19500,0.0556,13008.25,220991.75,196800
TRX0053974,ORD024117,2024-01-05,CUST0114,P012,Bali,8,16500,0.0,0.0,132000.0,104800
TRX0053975,ORD024117,2024-01-05,CUST0114,P011,Bali,7,11500,0.0619,4984.53,75515.47,62300
TRX0001095,ORD000484,2024-01-06,CUST0342,P008,Jawa Barat,7,19500,0.0077,1054.86,135445.14,114800
TRX0002036,ORD000902,2024-01-06,CUST0281,P001,Banten,7,18500,0.0,0.0,129500.0,110600
TRX0002037,ORD000902,2024-01-06,CUST0281,P005,Banten,13,3000,0.0338,1319.25,37680.75,29900
TRX0002038,ORD000902,2024-01-06,CUST0281,P006,Banten,13,9500,0.0606,7482.58,116017.42,92300
TRX0002039,ORD000902,2024-01-06,CUST0281,P011,Banten,2,11500,0.0435,1000.4,21999.6,17800
TRX0002040,ORD000902,2024-01-06,CUST0281,P008,Banten,19,19500,0.0,0.0,370500.0,311600
TRX0002903,ORD001295,2024-01-06,CUST0363,P012,DKI Jakarta,13,16500,0.0245,5249.3,209250.7,170300
TRX0002904,ORD001295,2024-01-06,CUST0363,P014,DKI Jakarta,3,20000,0.0,0.0,60000.0,46500
TRX0002905,ORD001295,2024-01-06,CUST0363,P002,DKI Jakarta,3,68000,0.0136,2767.1,201232.9,181500
TRX0002906,ORD001295,2024-01-06,CUST0363,P005,DKI Jakarta,24,3000,0.0588,4234.28,67765.72,55200
TRX0002907,ORD001295,2024-01-06,CUST0363,P004,DKI Jakarta,14,3200,0.0,0.0,44800.0,34300
TRX0005200,ORD002318,2024-01-06,CUST0337,P007,Jawa Barat,11,12500,0.0401,5514.63,131985.37,105600
TRX0008751,ORD003901,2024-01-06,CUST0471,P002,Jawa Tengah,4,68000,0.0586,15940.57,256059.43,242000
TRX0008752,ORD003901,2024-01-06,CUST0471,P004,Jawa Tengah,6,3200,0.0307,589.57,18610.43,14700
TRX0012446,ORD005572,2024-01-06,CUST0136,P006,Sumatera Utara,9,9500,0.114,9744.3,75755.7,63900
TRX0015025,ORD006723,2024-01-06,CUST0123,P005,Jawa Barat,6,3000,0.0608,1095.09,16904.91,13800
TRX0015026,ORD006723,2024-01-06,CUST0123,P001,Jawa Barat,12,18500,0.0,0.0,222000.0,189600
TRX0015027,ORD006723,2024-01-06,CUST0123,P011,Jawa Barat,10,11500,0.0001,13.49,114986.51,89000
TRX0017842,ORD007953,2024-01-06,CUST0299,P005,DKI Jakarta,8,3000,0.0,0.0,24000.0,18400
TRX0018326,ORD008180,2024-01-06,CUST0235,P014,Jawa Tengah,2,20000,0.0,0.0,40000.0,31000
TRX0018327,ORD008180,2024-01-06,CUST0235,P001,Jawa Tengah,12,18500,0.0046,1031.3,220968.7,189600
TRX0018328,ORD008180,2024-01-06,CUST0235,P003,Jawa Tengah,5,15500,0.0,0.0,77500.0,66000
TRX0019017,ORD008487,2024-01-06,CUST0094,P013,Sumatera Utara,11,13800,0.0076,1148.17,150651.83,116600
TRX0019018,ORD008487,2024-01-06,CUST0094,P005,Sumatera Utara,11,3000,0.063,2079.71,30920.29,25300
TRX0020179,ORD009031,2024-01-06,CUST0466,P001,Jawa Barat,1,18500,0.1248,2308.76,16191.24,15800
TRX0020180,ORD009031,2024-01-06,CUST0466,P008,Jawa Barat,2,19500,0.0055,212.81,38787.19,32800
TRX0021833,ORD009776,2024-01-06,CUST0446,P005,Banten,12,3000,0.0733,2638.91,33361.09,27600
TRX0022135,ORD009911,2024-01-06,CUST0257,P001,Sulawesi Selatan,11,18500,0.0084,1706.64,201793.36,173800
TRX0022136,ORD009911,2024-01-06,CUST0257,P008,Sulawesi Selatan,3,19500,0.0279,1634.42,56865.58,49200
TRX0022137,ORD009911,2024-01-06,CUST0257,P015,Sulawesi Selatan,31,28500,0.1048,92595.23,790904.77,682000
TRX0022138,ORD009911,2024-01-06,CUST0257,P004,Sulawesi Selatan,4,3200,0.0435,556.74,12243.26,9800
TRX0022139,ORD009911,2024-01-06,CUST0257,P005,Sulawesi Selatan,1,3000,0.084,252.07,2747.93,2300
TRX0023991,ORD010747,2024-01-06,CUST0340,P001,Bali,12,18500,0.0,0.0,222000.0,189600
TRX0024093,ORD010792,2024-01-06,CUST0012,P003,Jawa Tengah,15,15500,0.0122,2832.84,229667.16,198000
